accidentId;roadmain;road;rseg;rdist;rway;year;month;day;dead;injr;severlvl;poldis;disname;hour;wkday;acctype;acclass;partnum;spdlim;urbmrk;surface;brightness;weather;accloc;roadnum;municipality;munidesc;spdtype;spddiropp;spddirmeas;Urban;roadtype;avg;hevavg;rwid;X;Y;roadwork;pavement;temperature;intersection;railroad;address;privacy;wintmaint;Tienverkas;action;Luovpvm;lightown;cross-sec;coatwidth;roadcoat;vision150;vision300;vision460;frameroad
8412886;1;1;2;2409;2;2017;7;2017-07-15 00:00:00;0;0;0;5500;Helsingin poliisilaitos;20;Lauantai;59;4;2;40;1;1;1;1;1;;91;Helsinki;6;50;50;K;1;;;;382583;6675817;E;1;23;4;-1;HUOPALAHDENTIE X TURUNVéYLé             ;3;-1;9;-1;;-1;2;;-1;;;;0
8460471;1;1;2;2425;2;2017;8;2017-08-26 00:00:00;0;0;0;5500;Helsingin poliisilaitos;5;Lauantai;86;1;1;60;1;2;4;2;1;;91;Helsinki;6;50;50;K;1;;;;382565;6675829;E;1;12;4;-1;TURUNVéYLé X HUOPALAHDENTIE             ;3;-1;9;-1;;-1;2;;10;;;;0
8506119;1;1;3;18;2;2017;9;2017-09-20 00:00:00;0;0;0;5500;Helsingin poliisilaitos;8;Keskiviikko;8;6;2;60;1;2;1;2;1;;91;Helsinki;1;60;50;K;1;32428;1121;201;382578;6675845;E;1;7;4;-1;TIE 1 X HUOPALAHDENTIE                  ;1;0;2;1;1962-01-01 00:00:00;1;2;114;10;97;76;57;1
8616915;1;1;3;26;2;2017;11;2017-11-06 00:00:00;0;0;0;5500;Helsingin poliisilaitos;10;Maanantai;4;3;2;40;1;2;1;4;1;;91;Helsinki;1;60;50;K;1;32428;1121;201;382578;6675823;E;1;7;4;-1;HUOPALAHDENTIE X TIETOKUJA              ;1;0;2;1;1962-01-01 00:00:00;1;2;114;10;97;76;57;1
8771034;1;1;3;76;2;2017;12;2017-12-21 00:00:00;0;0;0;5500;Helsingin poliisilaitos;16;Torstai;4;3;2;60;0;2;2;2;1;;91;Helsinki;1;60;80;E;1;32428;1121;267;382521;6675840;E;1;4;4;-1;TURUNVéYLé X HUOPALAHDENTIE             ;1;0;2;1;1962-01-01 00:00:00;1;2;115;10;97;76;57;1
8120257;1;1;3;149;2;2017;1;2017-01-03 00:00:00;0;0;0;5500;Helsingin poliisilaitos;17;Tiistai;6;6;2;50;0;4;3;1;1;;91;Helsinki;1;60;80;E;1;32428;1121;267;382452;6675863;E;1;-4;0;-1;TURUNVéYLé X HUOPALAHDENTIE             ;1;1;2;1;1962-01-01 00:00:00;1;2;115;10;97;76;57;1
8296329;1;1;3;394;2;2017;5;2017-05-29 00:00:00;0;1;2;5500;Helsingin poliisilaitos;16;Maanantai;6;6;2;60;0;1;1;1;1;;91;Helsinki;1;60;100;E;1;32428;1121;267;382218;6675920;E;1;20;4;-1;TIE 1, MUNKKINIEMI                      ;1;0;2;1;1962-01-01 00:00:00;1;2;115;10;97;76;57;1
8506417;1;1;3;977;2;2017;9;2017-09-11 00:00:00;0;0;0;5500;Helsingin poliisilaitos;10;Maanantai;6;6;2;100;0;1;1;1;1;;91;Helsinki;1;80;100;E;1;32428;1121;267;381641;6675865;E;1;15;0;-1;TURUNVéYLé                              ;1;0;2;1;1962-01-01 00:00:00;1;2;115;10;97;76;57;1
8616867;1;1;3;3304;2;2017;11;2017-11-30 00:00:00;0;1;2;5530;LÑnsi-Uudenmaan poliisilaitos;17;Torstai;8;6;3;100;0;2;4;4;1;;49;Espoo;1;100;100;E;1;32428;1121;267;379477;6676677;E;1;4;0;-1;TIE 1 PERKKAA                           ;1;0;2;1;1962-01-01 00:00:00;1;2;115;10;97;76;57;1
8120415;1;1;3;3348;1;2017;1;2017-01-19 00:00:00;0;2;2;5530;LÑnsi-Uudenmaan poliisilaitos;17;Torstai;24;5;3;100;0;2;2;2;6;;49;Espoo;1;100;100;E;1;32428;1121;201;379431;6676705;E;1;2;0;-1;TIE X RAMPPI 44                         ;1;1;2;1;1962-06-30 00:00:00;1;2;104;10;97;76;57;1
8617992;1;1;4;635;2;2017;11;2017-11-13 00:00:00;0;0;0;5530;LÑnsi-Uudenmaan poliisilaitos;12;Maanantai;7;6;2;100;0;1;1;2;1;;49;Espoo;1;100;100;E;1;68589;2898;221;378348;6676632;E;1;5;0;-1;TURUNVéYLé                              ;1;0;2;1;1962-01-01 00:00:00;1;2;104;10;100;97;70;1
8460001;1;1;4;790;2;2017;8;2017-08-15 00:00:00;0;3;2;5530;LÑnsi-Uudenmaan poliisilaitos;8;Tiistai;7;6;3;100;0;1;1;1;1;;49;Espoo;1;100;100;E;1;68589;2898;267;378194;6676627;E;1;20;0;-1;TURUNVéYLé                              ;1;0;2;1;1962-01-01 00:00:00;1;2;114;10;100;97;70;1
